JournalCode	JournalLib	EcritureNum	EcritureDate	CompteNum	CompteLib	CompAuxNum	CompAuxLib	PieceRef	PieceDate	EcritureLib	Debit	Credit	EcritureLet	DateLet	ValidDate	Montantdevise	Idevise	DateRglt	ModeRglt	NatOp	IdClient	
AN	A nouveaux 	                               AN0000001	20180101	  20500000	BREVETS, LICENCES, LOGICIELS.. 	       	       	1	20180101	A Nouveau 	      4006,60	          0,00	   		20190326	              	EUR	      	       	       	       	
AN	A nouveaux 	                               AN0000001	20180101	  20700000	FONDS COMMERCIAL              	       	       	1	20180101	A Nouveau 	     68415,00	          0,00	   		20190326	              	EUR	      	       	       	       	
AN	A nouveaux 	                               AN0000001	20180101	  21540000	MATÉRIEL INDUSTRIEL           	       	       	1	20180101	A Nouveau 	     49815,13	          0,00	   		20190326	              	EUR	      	       	       	       	
AN	A nouveaux 	                               AN0000001	20180101	  21810000	AMÉNAG. AGENCEMENTS LOCAUX    	       	       	1	20180101	A Nouveau 	      4767,25	          0,00	   		20190326	              	EUR	      	       	       	       	
AN	A nouveaux 	                               AN0000001	20180101	  21830000	MATÉRIEL BUREAU ET INFORMATIQU 	       	       	1	20180101	A Nouveau 	      5525,66	          0,00	   		20190326	              	EUR	      	       	       	       	
AN	A nouveaux 	                               AN0000001	20180101	  27500000	DÉPOTS ET CAUTIONS VERSÉS     	       	       	1	20180101	A Nouveau 	      1320,00	          0,00	   		20190326	              	EUR	      	       	       	       	
AN	A nouveaux 	                               AN0000001	20180101	  28050000	AMORTISSEMENTS (205000)       	       	       	1	20180101	A Nouveau 	          0,00	      4006,60	   		20190326	              	EUR	      	       	       	       	
AN	A nouveaux 	                               AN0000001	20180101	  28154000	AMORTISSEMENTS (215400)       	       	       	1	20180101	A Nouveau 	          0,00	     40536,19	   		20190326	              	EUR	      	       	       	       	
AN	A nouveaux 	                               AN0000001	20180101	  28181000	AMORTISSEMENTS (218100)       	       	       	1	20180101	A Nouveau 	          0,00	      4767,25	   		20190326	              	EUR	      	       	       	       	
AN	A nouveaux 	                               AN0000001	20180101	  28183000	AMORTISSEMENTS (218300)       	       	       	1	20180101	A Nouveau 	          0,00	      5011,87	   		20190326	              	EUR	      	       	       	       	
